image_name,image_path,source_type,processing_channel,method,attack,level,mse,psnr,ssim,nc,ber
pattern_gray,data/misc/5.2.08.tiff,gray,gray,dct,jpeg,50.0,25.564239501953125,34.054474832271374,0.9227990098993469,0.2265625,0.38671875
pattern_gray,data/misc/5.2.08.tiff,gray,gray,dct,jpeg,30.0,40.07486343383789,32.102083098175655,0.8933111168008048,0.3515625,0.32421875
pattern_gray,data/misc/5.2.08.tiff,gray,gray,dct,noise,5.0,25.227020263671875,34.11214404819948,0.8853267079270787,0.8671875,0.06640625
pattern_gray,data/misc/5.2.08.tiff,gray,gray,dct,noise,10.0,99.71026611328125,28.143404855370207,0.695658286959453,0.5859375,0.20703125
pattern_gray,data/misc/5.2.08.tiff,gray,gray,dct,noise,20.0,396.1022033691406,22.15273102638326,0.4328559085504634,0.33203125,0.333984375
pattern_gray,data/misc/5.2.08.tiff,gray,gray,dct,resize,0.5,126.28916931152344,27.117142542550358,0.8590188526640311,0.01953125,0.490234375
pattern_gray,data/misc/5.2.08.tiff,gray,gray,dct,resize,0.75,68.19693374633789,29.793155124135126,0.9306082997012765,0.958984375,0.0205078125
pattern_gray,data/misc/5.2.08.tiff,gray,gray,dct,resize,1.5,20.118541717529297,35.09483862962282,0.9784353644149989,0.9609375,0.01953125
pattern_gray,data/misc/5.2.08.tiff,gray,gray,dwt,jpeg,90.0,5.590400695800781,40.65637423511263,0.9748252473668719,1.0,0.0
pattern_gray,data/misc/5.2.08.tiff,gray,gray,dwt,jpeg,70.0,15.638011932373047,36.18898820691419,0.9462857657714135,1.0,0.0
pattern_gray,data/misc/5.2.08.tiff,gray,gray,dwt,jpeg,50.0,25.258358001708984,34.10675246397433,0.924241754419365,1.0,0.0
pattern_gray,data/misc/5.2.08.tiff,gray,gray,dwt,jpeg,30.0,39.85687255859375,32.12577142866508,0.8947496612334963,1.0,0.0
pattern_gray,data/misc/5.2.08.tiff,gray,gray,dwt,noise,5.0,25.205474853515625,34.115854772124095,0.8847643649956861,1.0,0.0
pattern_gray,data/misc/5.2.08.tiff,gray,gray,dwt,noise,10.0,99.66331100463867,28.145450497049758,0.6948288668222549,1.0,0.0
pattern_gray,data/misc/5.2.08.tiff,gray,gray,dwt,noise,20.0,396.0117301940918,22.153723105910963,0.43224451985289636,1.0,0.0
pattern_gray,data/misc/5.2.08.tiff,gray,gray,dwt,resize,0.5,127.94692611694336,27.060505043022715,0.8606323417197268,1.0,0.0
pattern_gray,data/misc/5.2.08.tiff,gray,gray,dwt,resize,0.75,69.22066879272461,29.728445698452724,0.931283501382273,1.0,0.0
pattern_gray,data/misc/5.2.08.tiff,gray,gray,dwt,resize,1.5,20.441871643066406,35.02559703894326,0.9787866416110116,1.0,0.0
